candidateId,score
2561,1
1543,5
10,9
1035,1
3084,5
3600,4
1554,2
4629,3
22,10
1564,10
2588,8
1052,6
3101,1
3612,5
2591,5
34,7
4131,8
3620,3
2085,10
553,9
1074,10
563,1
3124,8
4148,1
1075,5
4660,5
2102,9
2618,1
4667,10
575,5
2628,9
1095,2
72,2
77,4
3661,3
4687,8
83,10
2645,8
1622,8
3160,6
1628,1
1630,9
96,7
4707,2
1643,4
4716,10
2670,9
4207,7
1138,5
3706,5
4604,1
4733,6
4740,5
4236,10
1168,7
4241,4
3217,2
146,10
4243,9
3733,5
2200,9
1690,7
1183,1
159,4
2208,8
4263,1
2215,2
169,4
173,2
1711,4
3764,2
180,7
1207,10
1720,2
4798,9
1727,7
4799,7
707,2
3268,9
196,9
3269,3
2759,8
2767,6
209,2
3283,4
212,1
4309,1
726,8
217,2
4830,1
4318,2
1760,1
4321,2
3294,10
3300,5
2277,3
1769,8
746,6
242,7
3326,10
255,9
256,2
3842,6
3843,1
1796,1
262,10
2317,1
2830,1
2320,1
788,10
1300,3
2839,7
4889,2
1309,7
800,7
3362,6
2852,10
2853,8
1831,4
3372,5
2351,3
2864,4
305,7
4914,3
3379,5
2869,3
2359,3
4407,6
313,8
4923,6
319,9
4417,9
2374,1
4936,9
2889,7
2383,3
4432,4
1361,1
848,3
3924,1
340,2
855,6
4440,9
864,3
4963,2
1893,3
2917,2
4453,2
873,6
2410,3
2923,4
3946,10
3439,9
880,6
884,9
373,10
1910,10
1399,6
2423,10
1915,2
3454,7
2943,10
2434,5
3460,10
4998,7
3979,9
1424,4
2454,2
1950,8
2977,9
1955,9
4516,8
1960,4
1962,5
3498,2
428,6
1963,8
2989,10
4019,1
2998,7
4025,10
1465,10
444,3
4541,10
1471,3
960,9
1983,2
3520,6
963,4
966,4
454,8
4038,2
3017,4
4554,10
3530,8
3030,2
4055,6
1500,6
992,4
2528,10
1506,1
2531,2
4580,6
489,5
3561,6
3565,1
2543,6
2031,5
508,10
1021,4
